,cc_delinquency,cc_chargeoff,consumer_loan_delinquency,debt_service_ratio,financial_obligations,ci_loan_tightening_large,revolving_credit,real_disposable_income,pce,unemployment,hy_spread,bbb_spread
2000-01-31,4.43,4.53,3.47,,16.645686,10.9,614846.55,9799.9,6542.9,4.0,,
2000-02-29,4.43,4.53,3.47,,16.645686,10.9,617332.56,9837.9,6625.3,4.1,,
2000-03-31,4.43,4.53,3.47,,16.645686,10.9,622510.97,9864.0,6686.5,4.0,,
2000-04-30,4.51,4.1,3.53,,16.75542,24.6,625735.94,9913.7,6679.1,3.8,,
2000-05-31,4.51,4.1,3.53,,16.75542,24.6,631857.15,9954.5,6709.7,4.0,,
2000-06-30,4.51,4.1,3.53,,16.75542,24.6,639158.55,9982.3,6746.9,4.0,,
2000-07-31,4.53,4.23,3.56,,16.873239,33.9,646927.01,10035.9,6768.5,4.0,,
2000-08-31,4.53,4.23,3.56,,16.873239,33.9,656021.89,10098.3,6802.8,4.1,,
2000-09-30,4.53,4.23,3.56,,16.873239,33.9,661996.81,10110.3,6888.6,3.9,,
2000-10-31,4.57,4.34,3.63,,17.069215,43.9,667948.15,10139.2,6893.8,3.9,,
2000-11-30,4.57,4.34,3.63,,17.069215,43.9,673994.74,10143.5,6909.8,3.9,,
2000-12-31,4.57,4.34,3.63,,17.069215,43.9,682646.37,10164.3,6952.2,3.9,,
2001-01-31,4.81,4.65,3.63,,17.166227,59.6,686761.5,10211.7,6987.4,4.2,,
2001-02-28,4.81,4.65,3.63,,17.166227,59.6,697982.51,10223.4,7001.8,4.2,,
2001-03-31,4.81,4.65,3.63,,17.166227,59.6,702560.77,10254.4,6996.7,4.3,,
2001-04-30,4.94,5.21,3.68,,17.422887,50.9,707447.02,10233.1,7004.2,4.4,,
2001-05-31,4.94,5.21,3.68,,17.422887,50.9,709590.51,10214.7,7052.8,4.3,,
2001-06-30,4.94,5.21,3.68,,17.422887,50.9,712002.55,10218.1,7069.7,4.5,,
2001-07-31,5.0,5.52,3.72,,17.30701,40.4,707890.02,10370.7,7082.3,4.6,,
2001-08-31,5.0,5.52,3.72,,17.30701,40.4,706691.34,10543.1,7121.7,4.9,,
2001-09-30,5.0,5.52,3.72,,17.30701,40.4,707262.63,10452.8,7007.0,5.0,,
2001-10-31,4.69,6.28,3.64,,17.785072,50.9,705408.52,10267.7,7212.9,5.3,,
2001-11-30,4.69,6.28,3.64,,17.785072,50.9,712658.74,10279.7,7182.3,5.5,,
2001-12-31,4.69,6.28,3.64,,17.785072,50.9,714840.73,10298.9,7166.7,5.7,,
2002-01-31,4.94,7.78,3.6,,17.449867,45.5,714781.5,10514.7,7184.6,5.7,,
2002-02-28,4.94,7.78,3.6,,17.449867,45.5,714822.1,10531.6,7225.2,5.7,,
2002-03-31,4.94,7.78,3.6,,17.449867,45.5,719956.04,10539.0,7243.4,5.7,,
2002-04-30,4.78,6.19,3.51,,17.289057,25.0,725227.7,10574.2,7312.5,5.9,,
2002-05-31,4.78,6.19,3.51,,17.289057,25.0,728364.1,10616.5,7288.9,5.8,,
2002-06-30,4.78,6.19,3.51,,17.289057,25.0,732813.38,10648.2,7322.5,5.8,,
2002-07-31,4.89,6.18,3.49,,17.277368,21.4,736264.46,10621.0,7387.3,5.8,,
2002-08-31,4.89,6.18,3.49,,17.277368,21.4,740489.45,10623.0,7412.6,5.7,,
2002-09-30,4.89,6.18,3.49,,17.277368,21.4,743326.36,10633.6,7391.5,5.7,,
2002-10-31,4.84,5.48,3.45,,17.205065,20.0,747939.58,10661.8,7435.2,5.7,,
2002-11-30,4.84,5.48,3.45,,17.205065,20.0,749906.22,10690.9,7463.8,5.9,,
2002-12-31,4.84,5.48,3.45,,17.205065,20.0,750947.45,10719.9,7519.9,6.0,,
2003-01-31,4.68,5.83,3.42,,17.204955,22.0,754789.4,10710.4,7541.3,5.8,,
2003-02-28,4.68,5.83,3.42,,17.204955,22.0,758601.34,10674.0,7548.6,5.9,,
2003-03-31,4.68,5.83,3.42,,17.204955,22.0,759655.21,10696.5,7611.5,5.9,,
2003-04-30,4.53,5.96,3.31,,17.105042,8.9,760752.43,10752.7,7634.5,6.0,,
2003-05-31,4.53,5.96,3.31,,17.105042,8.9,763704.74,10832.0,7650.3,6.1,,
2003-06-30,4.53,5.96,3.31,,17.105042,8.9,763814.88,10860.6,7699.6,6.3,,
2003-07-31,4.24,5.57,3.1,,16.875832,3.4,764388.66,10991.1,7757.0,6.2,,
