,Strain,Expansion,Crisis
2000-02-29,0.8658288570516685,0.1289784861716239,0.005192656776706631
2000-03-31,0.8765408828883009,0.12171940811125657,0.0017397090004413274
2000-04-30,0.9964350657966529,5.428836244052445e-05,0.003510645840905404
2000-05-31,0.9994118984738377,5.298041006958664e-05,0.0005351211160915563
2000-06-30,0.9996089613865875,3.348757572375078e-05,0.0003575510376876115
2000-07-31,0.9989942440108839,1.0759423438747008e-07,0.0010056483948804285
2000-08-31,0.9973165641318091,1.2210018351376023e-10,0.002683435746089421
2000-09-30,0.9931458539897462,3.064346736972204e-11,0.006854145979608831
2000-10-31,0.9754651172676064,6.483677354163505e-16,0.02453488273239144
2000-11-30,0.9393001776802704,2.081093425286276e-12,0.06069982231764687
2000-12-31,0.7981629465508808,1.5174337360481612e-12,0.20183705344760017
2001-01-31,0.003161276256925419,1.6769767858377026e-56,0.996838723743073
2001-02-28,0.6923668502724122,5.76618608796687e-11,0.3076331496699244
2001-03-31,0.6994412369303421,1.416712547791516e-14,0.3005587630696421
2001-04-30,0.779144182515722,4.210684179361782e-07,0.22085539641585836
2001-05-31,0.75516567181878,1.3499717689927691e-16,0.2448343281812182
2001-06-30,0.7287425245358194,9.516451110302152e-18,0.2712574754641787
2001-07-31,0.696078513811913,0.0003446504878401593,0.30357683570024496
2001-08-31,0.6165012821952882,9.638426436030094e-09,0.3834987081662834
2001-09-30,0.4332005422369943,4.496750167135315e-11,0.5667994577180365
2001-10-31,0.002761951445146672,0.00012927340511140694,0.9971087751497402
2001-11-30,0.00023004586065742118,3.1856526443356097e-25,0.9997699541393408
2001-12-31,0.004877638069983546,3.548228990283511e-15,0.995122361930011
2002-01-31,5.105774389886123e-26,4.399935117043179e-196,0.9999999999999981
2002-02-28,0.0020135402655576885,1.4538067166467362e-23,0.9979864597344403
2002-03-31,0.0010101364377497009,1.2852302258628103e-27,0.9989898635622484
2002-04-30,1.557223686909862e-30,3.090754804302753e-128,0.999999999999998
2002-05-31,7.967175746100072e-08,3.5614129191809863e-57,0.9999999203282404
2002-06-30,0.008405298464863972,1.1868891744499608e-11,0.991594701523265
2002-07-31,2.279024956310793e-13,5.21805529502796e-86,0.9999999999997701
2002-08-31,0.06018044918926523,3.593505213996296e-15,0.9398195508107292
2002-09-30,0.04629404406877094,9.362921466727436e-14,0.9537059559311335
2002-10-31,0.6873919025061783,0.0001703650862968442,0.31243773240752315
2002-11-30,0.695592388751697,1.5748272144395677e-06,0.30440603642108677
2002-12-31,0.799675106482232,1.7041428912541482e-06,0.20032318937487498
2003-01-31,0.7952370190334247,6.64724369911076e-15,0.20476298096656678
2003-02-28,0.8002810568239928,7.622300975212035e-19,0.19971894317600547
2003-03-31,0.8169701461642611,9.732042466177932e-12,0.18302985382600506
2003-04-30,0.833640723244972,5.304128556297687e-07,0.1663587463421709
2003-05-31,0.8016198949533148,3.8818716214712503e-07,0.1983797168595215
2003-06-30,0.6689300302203237,1.810926173341867e-07,0.3310697886870574
2003-07-31,0.3911447230651806,0.0301555343530469,0.578699742581771
2003-08-31,0.38161677416822476,0.02466425437409768,0.593718971457676
2003-09-30,0.34476475363799514,0.02397723867460657,0.6312580076873968
2003-10-31,3.111680496694817e-10,8.832665203733163e-90,0.9999999996888306
2003-11-30,0.012811338554534882,1.3669815566049855e-11,0.9871886614317941
2003-12-31,0.008919581417779494,7.345508383934631e-13,0.9910804185814848
2004-01-31,1.5961241481972018e-08,1.2375302697501862e-40,0.9999999840387573
2004-02-29,3.0467855917771532e-05,2.608567838131268e-29,0.9999695321440811
2004-03-31,0.1329859921817078,2.1919991804360006e-09,0.8670140056262918
2004-04-30,0.12893419630741604,1.0514860881432188e-15,0.8710658036925817
2004-05-31,0.8552328796094641,0.00205035830041008,0.1427167620901247
2004-06-30,0.8952900140783434,0.002012130680150052,0.10269785524150533
2004-07-31,0.952650457278894,0.02954023710609274,0.01780930561501194
2004-08-31,0.955694246200937,0.029150011627011283,0.015155742172050169
2004-09-30,0.9511321069458561,0.02813198660087237,0.02073590645327008
2004-10-31,0.9389532737560368,0.004623132948985225,0.05642359329497654
2004-11-30,0.8727072322598178,0.0041355687330702036,0.12315719900711053
2004-12-31,0.6277804834458193,0.003168150200748871,0.3690513663534305
2005-01-31,0.0017636607893070963,2.9053330595083586e-12,0.9982363392077864
2005-02-28,0.0014872040848485334,5.443857607672223e-14,0.9985127959150959
2005-03-31,0.008301114208163917,5.195799912869928e-07,0.9916983662118435
2005-04-30,0.0009791251634352596,4.069241476292543e-18,0.9990208748365634
2005-05-31,0.09899108909071061,0.00025569342936886607,0.9007532174799193
2005-06-30,0.09116548710843124,0.00025126946311661996,0.9085832434284509
2005-07-31,2.0302211875514542e-05,4.3418142008646445e-35,0.9999796977881231
2005-08-31,0.054376599473518264,6.209796418128724e-07,0.9456227795468388
2005-09-30,0.03991108951197401,3.274488984533917e-07,0.9600885830391264
2005-10-31,0.000828898909156789,2.393755476788449e-12,0.9991711010884484
2005-11-30,9.828614686296846e-07,4.542172061251814e-37,0.9999990171385302
2005-12-31,0.007553619815420882,2.126015109310946e-14,0.9924463801845567
2006-01-31,0.004957646626925255,5.4123083261838926e-15,0.9950423533730681
2006-02-28,6.510080744607171e-06,4.073873460798991e-30,0.9999934899192541
2006-03-31,0.009405590386967729,3.4587155593728456e-08,0.9905943750258756
2006-04-30,1.4465955198272515e-07,4.230067120613736e-43,0.9999998553404469
2006-05-31,0.0028909412353453155,4.2291991292081855e-19,0.9971090587646535
2006-06-30,0.0035368205126285524,9.820629729873093e-13,0.9964631794863884
2006-07-31,0.03856168982261186,3.244942076757013e-05,0.9614058607566196
2006-08-31,0.02976922514179102,5.597784777277193e-12,0.9702307748526104
2006-09-30,0.03163283429904894,5.395960320941136e-11,0.9683671656469907
2006-10-31,0.2424066332875332,0.0032056328186406235,0.7543877338938254
2006-11-30,0.23241013692830095,0.002640562052115355,0.7649493010195829
2006-12-31,0.2138860481252183,0.0026261767541038545,0.783487775120677
2007-01-31,0.07649618804602162,9.658844595936057e-20,0.9235038119539779
2007-02-28,0.7440421688822291,0.004374676032006721,0.25158315508576345
2007-03-31,0.7651226852216623,0.004357070486495302,0.2305202442918417
2007-04-30,0.8072123680473995,0.016083244407236894,0.17670438754536266
2007-05-31,0.7877235769947056,0.015973012122082658,0.19630341088321068
2007-06-30,0.6927741980967901,0.015256522654764012,0.2919692792484449
2007-07-31,2.1114094182926587e-06,2.684179413507048e-61,0.9999978885905803
2007-08-31,0.30647132961959717,4.330262598856837e-08,0.6935286270777754
2007-09-30,0.3023441755866893,1.4987066294503405e-08,0.6976558094262432
2007-10-31,0.3227791666138829,0.000643834927640887,0.6765769984584749
2007-11-30,0.2543289590113651,2.1408831570141e-12,0.7456710409864927
2007-12-31,0.21676935975223893,1.1187429627494812e-12,0.7832306402466411
2008-01-31,0.01637430914220505,1.9595736649549594e-42,0.9836256908577936
2008-02-29,0.017425214661250354,8.361355576064062e-30,0.9825747853387482
2008-03-31,0.01835008126632065,5.581789028825216e-25,0.9816499187336781
2008-04-30,0.01392228007779879,9.408344929157902e-37,0.9860777199222
2008-05-31,0.00982719725529348,2.1916044661372144e-31,0.9901728027447053
2008-06-30,0.03789216572638794,0.0003279812818909444,0.9617798529917199
2008-07-31,0.10441431736968587,0.004200421160923231,0.8913852614693896
2008-08-31,0.08648207624550457,3.9121203169137964e-17,0.913517923754494
2008-09-30,0.08615255482362989,1.529188688510788e-15,0.9138474451763673
2008-10-31,1.651395728850002e-49,0.0,0.9999999999999987
2008-11-30,9.10081892398981e-05,1.4247165758586652e-20,0.9999089918107587
2008-12-31,0.0012305436023989933,6.453135632147597e-39,0.9987694563975996
2009-01-31,0.002001180726026974,5.6681683036212e-41,0.9979988192739717
2009-02-28,0.0018328585830511069,4.447874723747577e-43,0.9981671414169476
2009-03-31,0.0010300195231835994,5.909871333813839e-42,0.9989699804768151
2009-04-30,1.0606433010342922e-08,1.4345496170481579e-21,0.9999999893935657
2009-05-31,1.0436945695303596e-13,2.1006109827501142e-80,0.9999999999998942
2009-06-30,0.00011303844553617171,1.50222793377769e-42,0.9998869615544624
2009-07-31,1.396044984760743e-10,2.407446837064185e-35,0.9999999998603941
2009-08-31,2.2063814594477166e-09,6.14684590767978e-69,0.9999999977936171
2009-09-30,0.04431312313699565,2.7781471113803803e-24,0.955686876863003
2009-10-31,0.05880035033040895,2.862177586811027e-14,0.941199649669561
2009-11-30,0.07803347758678053,5.5604844177228334e-08,0.9219664668083739
2009-12-31,0.05296418131485342,6.120733131831276e-09,0.9470358125644119
2010-01-31,1.5932185088868052e-06,5.061584675153349e-29,0.9999984067814895
2010-02-28,2.86398502076898e-05,9.891007363203966e-30,0.9999713601497905
2010-03-31,0.07681316850682646,5.018366497975582e-12,0.9231868314881535
2010-04-30,0.9222575942885065,0.0007051948460219641,0.07703721086546962
2010-05-31,0.9337907110735728,0.0003710374252914833,0.06583825150113369
2010-06-30,0.9478061274710732,0.00019429291496961187,0.05199957961395486
2010-07-31,0.9600888304070487,8.472945825431574e-05,0.039826440134694774
2010-08-31,0.9848888671306731,0.00638111220936724,0.008730020659957687
2010-09-30,0.9814569457866035,0.01245922576366961,0.0060838284497246875
2010-10-31,0.9852081672472914,5.0708114136614425e-06,0.014786761941292702
2010-11-30,0.9934930515655228,0.003691944902588932,0.002815003531886174
2010-12-31,0.9944038572581566,0.003593056289884348,0.0020030864519567683
2011-01-31,0.994135929869586,6.330324365946847e-05,0.005800766886752086
2011-02-28,0.9945432135548877,0.003537496402574994,0.0019192900425349887
2011-03-31,0.9946375577727397,0.0031296285872628765,0.002232813639995209
2011-04-30,0.9916545775309341,0.0012550432465332196,0.007090379222530558
2011-05-31,0.9246021348777637,0.06452298376021684,0.010874881362017374
